Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-04-29,ADANIGREEN,EQ,1054.7,1060.0,1065.0,1049.0,1056.25,1055.75,1055.81,218774,23098368545000.0,10208,110065,0.5031
2021-04-30,ADANIGREEN,EQ,1055.75,1040.9,1048.6,1011.0,1023.95,1018.95,1028.51,466631,47993455305000.0,31265,331575,0.7106
2021-05-03,ADANIGREEN,EQ,1018.95,1015.0,1044.7,990.0,1039.5,1036.5,1028.86,324742,33411425235000.004,19111,126148,0.3885
2021-05-04,ADANIGREEN,EQ,1036.5,1050.0,1063.0,1035.0,1047.35,1045.1,1046.88,256463,26848527614999.996,16968,123514,0.4816
2021-05-05,ADANIGREEN,EQ,1045.1,1059.0,1080.8,1047.35,1064.0,1064.55,1063.96,446011,47453774885000.0,23639,212568,0.47659999999999997
2021-05-06,ADANIGREEN,EQ,1064.55,1083.95,1108.0,1072.0,1102.5,1099.6,1090.07,762063,83070155560000.0,36211,402328,0.5279
2021-05-07,ADANIGREEN,EQ,1099.6,1120.0,1125.4,1083.7,1103.2,1102.9,1103.93,784571,86610884575000.0,25542,382870,0.488
2021-05-10,ADANIGREEN,EQ,1102.9,1110.0,1120.0,1098.05,1100.0,1102.85,1105.27,336905,37236955275000.0,19635,200877,0.5962
2021-05-11,ADANIGREEN,EQ,1102.85,1094.0,1094.0,1071.05,1076.1,1077.95,1080.22,344008,37160492865000.0,21405,199744,0.5806
2021-05-12,ADANIGREEN,EQ,1077.95,1077.0,1084.8,1032.2,1050.2,1049.8,1052.21,369512,38880526605000.0,26702,233110,0.6309
2021-05-14,ADANIGREEN,EQ,1049.8,1069.0,1097.7,1050.5,1090.0,1088.05,1077.99,681045,73416193590000.0,31820,443542,0.6513
2021-05-17,ADANIGREEN,EQ,1088.05,1142.45,1142.45,1142.45,1142.45,1142.45,1142.45,268800,30709056000000.0,5362,268263,0.998
2021-05-18,ADANIGREEN,EQ,1142.45,1199.55,1199.55,1181.15,1199.55,1198.75,1198.32,825222,98888385225000.0,11552,460953,0.5586
2021-05-19,ADANIGREEN,EQ,1198.75,1244.0,1258.65,1156.0,1241.55,1243.65,1231.11,2581312,317787973265000.0,94974,780687,0.3024
2021-05-20,ADANIGREEN,EQ,1243.65,1274.0,1284.75,1240.1,1270.0,1268.85,1268.87,1235091,156717388970000.0,58147,440059,0.3563
2021-05-21,ADANIGREEN,EQ,1268.85,1285.0,1320.5,1272.0,1314.95,1299.2,1289.64,1145075,147673122725000.0,41927,487420,0.4257
2021-05-24,ADANIGREEN,EQ,1299.2,1317.0,1364.15,1300.0,1364.15,1360.95,1349.13,1906731,257242160185000.0,59491,621819,0.3261
2021-05-25,ADANIGREEN,EQ,1360.95,1390.0,1390.0,1301.1,1317.0,1314.25,1334.66,1212221,161790198940000.0,62056,568376,0.46890000000000004
2021-05-26,ADANIGREEN,EQ,1314.25,1325.0,1333.9,1248.55,1272.0,1264.6,1269.26,1022936,129836978465000.02,49335,487354,0.4764
2021-05-27,ADANIGREEN,EQ,1264.6,1289.7,1304.9,1225.3,1260.0,1266.6,1270.76,2431113,308935064065000.0,65677,1201287,0.4941
2021-05-28,ADANIGREEN,EQ,1266.6,1273.0,1289.0,1235.0,1241.0,1238.95,1261.57,747224,94267187965000.0,43690,380397,0.5091
2021-05-31,ADANIGREEN,EQ,1238.95,1260.0,1285.95,1242.25,1270.15,1268.2,1257.73,405540,51005931045000.0,28411,232866,0.5742
